Domain,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
Annual population,Austria,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,4196.321,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Austria,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,4348.265,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Belgium,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,5559.101,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Belgium,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,5740.091,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Bulgaria,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,3473.406,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Bulgaria,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,3676.381,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2045.25,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Croatia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2195.067,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,594.492,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Cyprus,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,570.808,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Czechia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,5180.067,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Czechia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,5363.119,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2813.929,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Denmark,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2855.152,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,614.318,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Estonia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,698.24,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2709.039,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2794.418,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,France,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,31341.653,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
Annual population,France,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,33053.692,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
