Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2000,2000,Head,4683853,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2001,2001,Head,4683860,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2002,2002,Head,4747264,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2003,2003,Head,4511341,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2004,2004,Head,4808467,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2005,2005,Head,4327126,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2006,2006,Head,4272613,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2007,2007,Head,4139199,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2008,2008,Head,4202136,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2009,2009,Head,4240204,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2010,2010,Head,4314599,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2011,2011,Head,4272897,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2012,2012,Head,4171402,,Official data
QL,Livestock Primary,79,Germany,5322,Production,944,"Meat indigenous, cattle",2013,2013,Head,4004974,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2000,2000,1000 Head,508667,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2001,2001,1000 Head,400527,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2002,2002,1000 Head,411962,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2003,2003,1000 Head,557841,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2004,2004,1000 Head,585823,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2005,2005,1000 Head,604255,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2006,2006,1000 Head,519982,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2007,2007,1000 Head,606076,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2008,2008,1000 Head,688461,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2009,2009,1000 Head,728947,F,FAO estimate
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2010,2010,1000 Head,685387,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2011,2011,1000 Head,719264,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2012,2012,1000 Head,734504,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1094,"Meat indigenous, chicken",2013,2013,1000 Head,751399,,Official data
QL,Livestock Primary,79,Germany,5323,Production,1070,"Meat indigenous, duck",2000,2000,1000 Head,26734,F,FAO estimate
